"state","county","countystate","cw1972","isenNA","flag","PNAScount","PNASyears","DATAyears"
"California","Alameda","Alameda, California","Secondary nonattainment","Attainment","Both",9991,11,11
"California","Fresno","Fresno, California","Primary nonattainment","Nonattainment","Both",7875,11,11
"California","Los Angeles","Los Angeles, California","Primary nonattainment","Nonattainment","Both",65538,11,11
"California","Monterey","Monterey, California","Secondary nonattainment","Attainment","Both",2360,11,3
"California","Orange","Orange, California","Primary nonattainment","Nonattainment","Both",22804,11,11
"California","Riverside","Riverside, California","Primary nonattainment","Nonattainment","Both",10907,11,6
"California","Sacramento","Sacramento, California","Secondary nonattainment","Attainment","Both",8540,11,11
"California","San Bernardino","San Bernardino, California","Primary nonattainment","Nonattainment","Both",13247,11,10
"California","San Diego","San Diego, California","Primary nonattainment","Nonattainment","Both",20762,11,11
"California","San Francisco","San Francisco, California","Secondary nonattainment","Attainment","Both",3893,11,10
"Colorado","Adams","Adams, Colorado","Primary nonattainment","Nonattainment","Both",2179,11,9
"Colorado","Arapahoe","Arapahoe, Colorado","Primary nonattainment","Nonattainment","Both",5299,11,9
"Colorado","Denver","Denver, Colorado","Primary nonattainment","Nonattainment","Both",3182,11,10
"Colorado","El Paso","El Paso, Colorado","Primary nonattainment","Nonattainment","Both",4486,11,9
"Colorado","Garfield","Garfield, Colorado","Primary nonattainment","Nonattainment","Both",260,11,9
"Colorado","Jefferson","Jefferson, Colorado","Primary nonattainment","Nonattainment","Both",6067,11,9
"Colorado","Larimer","Larimer, Colorado","Primary nonattainment","Nonattainment","Both",2333,11,9
"Colorado","Las Animas","Las Animas, Colorado","Primary nonattainment","Nonattainment","Both",71,11,9
"Colorado","Mesa","Mesa, Colorado","Primary nonattainment","Attainment","Both",1036,11,9
"Colorado","Montezuma","Montezuma, Colorado","Primary nonattainment","Attainment","Both",169,11,11
"Colorado","Pueblo","Pueblo, Colorado","Primary nonattainment","Nonattainment","Both",1031,11,9
"Florida","Duval","Duval, Florida","Primary nonattainment","Attainment","Both",5482,11,10
"Florida","Hillsborough","Hillsborough, Florida","Primary nonattainment","Nonattainment","Both",6747,11,10
"Florida","Pinellas","Pinellas, Florida","Primary nonattainment","Attainment","Both",4953,11,9
"Georgia","Chatham","Chatham, Georgia","Primary nonattainment","Nonattainment","Both",1514,11,7
"Georgia","Fulton","Fulton, Georgia","Primary nonattainment","Nonattainment","Both",6083,11,10
"Georgia","Muscogee","Muscogee, Georgia","Primary nonattainment","Attainment","Both",1501,11,9
"Idaho","Ada","Ada, Idaho","Primary nonattainment","Nonattainment","Both",2999,11,10
"Idaho","Bannock","Bannock, Idaho","Primary nonattainment","Nonattainment","Both",772,11,8
"Illinois","Cook","Cook, Illinois","Primary nonattainment","Nonattainment","Both",47789,11,9
"Illinois","Lake","Lake, Illinois","Primary nonattainment","Nonattainment","Both",7905,11,9
"Illinois","Peoria","Peoria, Illinois","Primary nonattainment","Nonattainment","Both",1894,11,8
"Illinois","Rock Island","Rock Island, Illinois","Primary nonattainment","Nonattainment","Both",1406,11,9
"Illinois","Sangamon","Sangamon, Illinois","Primary nonattainment","Nonattainment","Both",2559,11,8
"Illinois","Will","Will, Illinois","Primary nonattainment","Nonattainment","Both",7177,11,7
"Indiana","Allen","Allen, Indiana","Primary nonattainment","Nonattainment","Both",3232,11,9
"Indiana","Lake","Lake, Indiana","Primary nonattainment","Nonattainment","Both",4283,11,11
"Indiana","Marion","Marion, Indiana","Primary nonattainment","Nonattainment","Both",8573,11,9
"Indiana","Monroe","Monroe, Indiana","Primary nonattainment","Nonattainment","Both",1041,11,10
"Indiana","St. Joseph","St. Joseph, Indiana","Primary nonattainment","Nonattainment","Both",3055,11,10
"Indiana","Vanderburgh","Vanderburgh, Indiana","Primary nonattainment","Nonattainment","Both",1448,11,10
