,,,These are the population desnities in people per square mile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_name,county_name,Area in sq mi,pop1970,pop1971,pop1972,pop1973,pop1974,pop1975,pop1976,pop1977,pop1978,pop1979,pop1980,pop1981,pop1982,pop1983,pop1984,pop1985,pop1986,pop1987,pop1988,pop1989,pop1990,pop1991,pop1992,pop1993,pop1994,pop1995,pop1996,pop1997,pop1998,pop1999,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009
United States,United States,3531905.43,57.56157435,58.55932558,59.25498407,59.84191938,60.40393896,61.00503093,61.59904457,62.22108841,62.88248777,63.58239326,64.14165229,64.96939076,65.59191252,66.19430181,66.76988177,67.36412928,67.98959818,68.60006328,69.2258071,69.88273806,70.63167487,71.39293421,72.20739741,72.98683759,73.70724561,74.40835583,75.09503786,75.81845333,76.51620587,77.2078467,0,0,0,0,0,0,0,0,0,0
Alabama,Alabama,50645.33,68.00931103,69.04881457,69.89785633,70.70740777,71.63543016,72.66217833,73.78765229,74.69592952,75.70293253,76.39401303,76.88813559,77.3720499,77.50493481,77.67942276,78.02938593,78.4380317,78.8141572,79.28197921,79.45139266,79.57730752,79.9384267,80.77793155,81.73051691,82.7936949,83.58055916,84.1682935,84.71468149,85.3046273,85.91190935,86.28361193,87.90245813,88.14305287,88.30863576,88.66742501,89.09390066,89.74270678,90.78207211,91.57614335,92.35726177,92.97417946
Alabama,Autauga County,594.44,41.1479712,42.89751699,45.75735146,47.9442837,49.29008815,49.96299038,50.29944149,51.30879483,51.98169706,54.00040374,54.26788238,53.80694435,53.89273938,53.92301999,54.05760043,54.2443308,55.33443241,55.96527825,56.58434829,57.1899603,57.7955723,58.90922549,60.56456497,62.20308189,64.29244331,65.86703452,67.71246888,69.46537918,70.97940919,72.57250521,73.80391629,74.74934392,75.9656147,76.98337931,78.95330059,80.52957405,82.60715968,83.83352399,84.70829688,85.38456362
Alabama,Baldwin County,1589.78,37.35233806,37.80397288,39.25071394,40.38294607,41.57807999,42.71031212,44.15705318,45.54089245,46.86182994,48.18276743,49.41312634,50.50195625,51.78766873,52.82366114,54.56855666,56.23482494,57.43624904,58.63327001,59.53591063,60.51025928,62.22307489,64.30386594,66.81930833,69.74109625,72.86165381,75.4582395,78.16238725,80.99862874,83.5694247,85.43320459,88.91670546,91.20004026,93.18333354,95.4264112,98.48721207,102.255658,105.9995723,108.70372,110.8404937,113.1464731
Alabama,Barbour County,884.88,25.47577073,26.10523461,25.87921526,26.5572733,26.44426363,28.13940873,28.93047645,27.91338939,27.68737004,27.57436037,27.9766748,27.96763403,28.00040683,28.02413887,28.19817376,28.2546786,28.1857427,28.36768827,28.51234066,28.63213091,28.76322213,29.6390471,29.87410722,30.10238676,30.27303137,30.13402947,30.36117892,30.22669741,30.44028569,30.20296537,32.81235874,33.02481692,33.09940331,33.31525179,33.29038966,33.28360908,33.40113914,33.60455655,33.71756622,33.60568665
Alabama,Bibb County,622.58,22.18510071,22.32644801,22.64769186,23.61142343,23.12955765,23.77204536,23.77204536,24.575155,24.73577693,25.05702078,25.25458576,25.43608853,25.73163288,25.69790228,25.84246201,25.95168492,25.56779852,25.96453468,25.91795432,26.27774744,26.78370651,27.23505413,27.61251566,28.0237078,28.33852678,28.89267243,29.32313919,29.93832118,30.49728549,31.48350413,32.02158759,33.63744418,33.70329917,33.79003502,34.06469851,34.33293713,34.1883774,34.50962125,34.67666806,34.67345562
Alabama,Blount County,644.78,41.64676324,43.11548125,45.44185614,47.14786439,48.85387264,49.93951425,51.18024753,53.04134744,53.97189739,55.8329973,56.54486802,56.82713484,56.38357269,56.4967896,57.05822141,58.03064611,58.9270759,58.96119607,59.32255963,60.13058718,61.12162288,61.83194268,62.39337448,63.57517293,64.15056298,66.04733397,67.53311207,69.63150222,71.79503086,73.53050653,79.37746208,80.64611185,81.84962313,83.32454481,84.47687583,85.35469462,86.81720897,88.1944229,89.6336735,90.48822854
Alabama,Bullock County,622.81,18.98492317,18.3041377,18.3041377,18.14357509,17.82244986,17.82244986,17.82244986,17.66188725,17.66188725,17.34076203,17.0132143,17.14648127,17.08225623,17.15772065,17.37929706,17.30383263,16.79324353,17.48687401,17.95732246,17.93484369,17.69721103,17.88506928,17.71326729,17.79836547,17.96856184,17.99746311,18.15481447,18.15963135,18.18371574,18.21261701,18.63168543,18.2736308,18.08095567,18.15160322,17.72290105,17.6217466,17.24281884,17.60729597,17.53504279,17.63780286
Alabama,Butler County,776.83,28.32923548,28.06276792,27.67658304,27.29039816,27.29039816,27.29039816,27.54785474,26.90421328,26.90421328,27.29039816,27.90829396,28.55965913,28.83385039,28.81454115,28.89049084,28.86989431,28.7579007,28.84157409,28.58669207,28.3652794,28.17089968,27.98810551,28.02672399,28.03830954,28.07692803,28.02801128,28.0640552,28.02286214,27.87997374,27.70490326,27.43586113,27.07928376,26.52703938,26.43564229,26.35840531,26.18076027,26.043021,26.05846839,25.96578402,25.69931645
