"geoid","county","fips_cnty","state","stateabbr","fips_state","aqcr_num","flag"
"06001","Alameda",1,"California","CA",6,30,"Both"
"06019","Fresno",19,"California","CA",6,31,"Both"
"06037","Los Angeles",37,"California","CA",6,24,"Both"
"06053","Monterey",53,"California","CA",6,25,"Both"
"06059","Orange",59,"California","CA",6,24,"Both"
"06065","Riverside",65,"California","CA",6,24,"Both"
"06067","Sacramento",67,"California","CA",6,28,"Both"
"06071","San Bernardino",71,"California","CA",6,24,"Both"
"06073","San Diego",73,"California","CA",6,29,"Both"
"06075","San Francisco",75,"California","CA",6,30,"Both"
"08001","Adams",1,"Colorado","CO",8,36,"Both"
"08005","Arapahoe",5,"Colorado","CO",8,36,"Both"
"08031","Denver",31,"Colorado","CO",8,36,"Both"
"08041","El Paso",41,"Colorado","CO",8,38,"Both"
"08045","Garfield",45,"Colorado","CO",8,35,"Both"
"08059","Jefferson",59,"Colorado","CO",8,36,"Both"
"08069","Larimer",69,"Colorado","CO",8,37,"Both"
"08071","Las Animas",71,"Colorado","CO",8,38,"Both"
"08077","Mesa",77,"Colorado","CO",8,35,"Both"
"08083","Montezuma",83,"Colorado","CO",8,14,"Both"
"08101","Pueblo",101,"Colorado","CO",8,38,"Both"
"12031","Duval",31,"Florida","FL",12,49,"Both"
"12057","Hillsborough",57,"Florida","FL",12,52,"Both"
"12103","Pinellas",103,"Florida","FL",12,52,"Both"
"13051","Chatham",51,"Georgia","GA",13,58,"Both"
"13121","Fulton",121,"Georgia","GA",13,56,"Both"
"13215","Muscogee",215,"Georgia","GA",13,2,"Both"
"16001","Ada",1,"Idaho","ID",16,64,"Both"
"16005","Bannock",5,"Idaho","ID",16,61,"Both"
"17031","Cook",31,"Illinois","IL",17,67,"Both"
"17097","Lake",97,"Illinois","IL",17,67,"Both"
"17143","Peoria",143,"Illinois","IL",17,65,"Both"
"17161","Rock Island",161,"Illinois","IL",17,69,"Both"
"17167","Sangamon",167,"Illinois","IL",17,75,"Both"
"17197","Will",197,"Illinois","IL",17,67,"Both"
"18003","Allen",3,"Indiana","IN",18,81,"Both"
"18089","Lake",89,"Indiana","IN",18,67,"Both"
"18097","Marion",97,"Indiana","IN",18,80,"Both"
"18105","Monroe",105,"Indiana","IN",18,83,"Both"
"18141","St. Joseph",141,"Indiana","IN",18,82,"Both"
"18163","Vanderburgh",163,"Indiana","IN",18,77,"Both"
"18167","Vigo",167,"Indiana","IN",18,84,"Both"
"22017","Caddo",17,"Louisiana","LA",22,22,"Both"
"22033","East Baton Rouge",33,"Louisiana","LA",22,106,"Both"
"22071","Orleans",71,"Louisiana","LA",22,106,"Both"
"23009","Hancock",9,"Maine","ME",23,109,"Both"
"24510","Baltimore (City)",510,"Maryland","MD",24,115,"Both"
