"Year","stateabbr","aqcr_num","Pop","Count","fips_state"
1969,"AK",8,134684,2,2
1969,"AK",9,60883,4,2
1969,"AK",10,25752,5,2
1969,"AK",11,36695,5,2
1969,"AL",1,206766,9,1
1969,"AL",2,443233,11,1
1969,"AL",3,401337,10,1
1969,"AL",4,1046325,14,1
1969,"AL",5,413002,3,1
1969,"AL",6,237501,7,1
1969,"AL",7,706393,13,1
1969,"AR",16,724485,19,5
1969,"AR",17,234630,4,5
1969,"AR",18,47906,1,5
1969,"AR",19,129669,6,5
1969,"AR",20,475925,19,5
1969,"AR",21,196773,19,5
1969,"AR",22,123428,7,5
1969,"AZ",12,90219,3,4
1969,"AZ",13,88072,2,4
1969,"AZ",14,168251,4,4
1969,"AZ",15,1452989,5,4
1969,"CA",23,20230,3,6
1969,"CA",24,10281054,6,6
1969,"CA",25,391820,3,6
1969,"CA",26,226476,6,6
1969,"CA",27,102397,3,6
1969,"CA",28,1143313,13,6
1969,"CA",29,1364665,1,6
1969,"CA",30,4642903,9,6
1969,"CA",31,1691957,12,6
1969,"CA",32,106403,1,6
1969,"CA",33,74588,1,6
1969,"CO",14,37612,5,8
1969,"CO",34,72804,10,8
1969,"CO",35,131555,11,8
1969,"CO",36,1254928,8,8
1969,"CO",37,242304,8,8
1969,"CO",38,427410,10,8
1969,"CO",39,37532,6,8
1969,"CO",40,24195,5,8
1969,"CT",41,535390,4,9
1969,"CT",42,2502645,4,9
1969,"DC",47,755466,1,11
1969,"DE",45,387610,1,10
1969,"DE",46,163899,2,10
1969,"FL",5,500214,10,12
1969,"FL",48,931186,6,12
1969,"FL",49,1122285,25,12
1969,"FL",50,2443305,8,12
1969,"FL",51,356156,8,12
1969,"FL",52,1512314,10,12
1969,"GA",2,275371,12,13
1969,"GA",49,202367,14,13
1969,"GA",53,291869,12,13
1969,"GA",54,510453,27,13
1969,"GA",55,437204,16,13
1969,"GA",56,1720752,19,13
1969,"GA",57,414854,24,13
1969,"GA",58,286835,8,13
1969,"GA",59,461562,26,13
