"FIPS","Year","Pop"
"01001",1969,24661
"01001",1970,24661
"01001",1971,25503
"01001",1972,27156
"01001",1973,28453
"01001",1974,29261
"01001",1975,29716
"01001",1976,29892
"01001",1977,30457
"01001",1978,30879
"01001",1979,32050
"01001",1980,32217
"01001",1981,31985
"01003",1969,59531
"01003",1970,59531
"01003",1971,60147
"01003",1972,62441
"01003",1973,64201
"01003",1974,66073
"01003",1975,67860
"01003",1976,70239
"01003",1977,72395
"01003",1978,74549
"01003",1979,76583
"01003",1980,78949
"01003",1981,80292
"01005",1969,22644
"01005",1970,22644
"01005",1971,23089
"01005",1972,22852
"01005",1973,23453
"01005",1974,23434
"01005",1975,24872
"01005",1976,25607
"01005",1977,24687
"01005",1978,24522
"01005",1979,24429
"01005",1980,24739
"01005",1981,24744
"01007",1969,13824
"01007",1970,13824
"01007",1971,13909
"01007",1972,14085
"01007",1973,14657
"01007",1974,14379
"01007",1975,14770
"01007",1976,14760
"01007",1977,15254
"01007",1978,15342
"01007",1979,15539
"01007",1980,15745
"01007",1981,15835
"01009",1969,27042
"01009",1970,27042
"01009",1971,27817
"01009",1972,29295
"01009",1973,30359
"01009",1974,31542
"01009",1975,32221
"01009",1976,33050
"01009",1977,34222
"01009",1978,34846
"01009",1979,35961
"01009",1980,36536
"01009",1981,36642
"01011",1969,11736
"01011",1970,11736
"01011",1971,11403
"01011",1972,11447
"01011",1973,11274
"01011",1974,11145
"01011",1975,11099
"01011",1976,11112
"01011",1977,11016
"01011",1978,10956
"01011",1979,10802
"01011",1980,10601
"01011",1981,10680
"01013",1969,21966
"01013",1970,21966
"01013",1971,21844
"01013",1972,21527
"01013",1973,21237
"01013",1974,21151
"01013",1975,21169
"01013",1976,21355
"01013",1977,20877
"01013",1978,20918
"01013",1979,21210
"01013",1980,21772
"01013",1981,22183
"01015",1969,103193
"01015",1970,103193
"01015",1971,103629
"01015",1972,103849
"01015",1973,105032
"01015",1974,105922
"01015",1975,106996
"01015",1976,112761
"01015",1977,112796
"01015",1978,116470
"01015",1979,116739
"01015",1980,120025
"01015",1981,120818
"01017",1969,36337
"01017",1970,36337
"01017",1971,36271
"01017",1972,36074
"01017",1973,36948
"01017",1974,37536
"01017",1975,37536
"01017",1976,37943
"01017",1977,38367
"01017",1978,38732
"01017",1979,39303
"01017",1980,39228
"01017",1981,39386
"01019",1969,15782
"01019",1970,15782
"01019",1971,16530
"01019",1972,16858
"01019",1973,17239
"01019",1974,17661
"01019",1975,18072
